            Frequency,              V(L1:2)
5000,1.053653859
5000.250003,1.05365551
5000.500005,1.05365716
5000.750008,1.05365881
5001.00001,1.053660459
5001.250013,1.053662108
5001.500015,1.053663755
5001.750018,1.053665402
5002.00002,1.053667048
5002.250023,1.053668694
5002.500025,1.053670338
5002.750028,1.053671982
5003.00003,1.053673625
5003.250033,1.053675268
5003.500035,1.053676909
5003.750038,1.05367855
5004.00004,1.05368019
5004.250043,1.05368183
5004.500045,1.053683468
5004.750048,1.053685106
5005.00005,1.053686744
5005.250053,1.05368838
5005.500055,1.053690016
5005.750058,1.053691651
5006.00006,1.053693285
5006.250063,1.053694918
5006.500065,1.053696551
5006.750068,1.053698183
5007.00007,1.053699814
5007.250073,1.053701445
5007.500075,1.053703075
5007.750078,1.053704704
5008.00008,1.053706332
5008.250083,1.053707959
5008.500085,1.053709586
5008.750088,1.053711212
5009.00009,1.053712838
5009.250093,1.053714462
5009.500095,1.053716086
5009.750098,1.053717709
5010.0001,1.053719331
5010.250103,1.053720953
5010.500105,1.053722574
5010.750108,1.053724194
5011.00011,1.053725813
5011.250113,1.053727432
5011.500115,1.053729049
5011.750118,1.053730667
5012.00012,1.053732283
5012.250123,1.053733899
5012.500125,1.053735513
5012.750128,1.053737127
5013.00013,1.053738741
5013.250133,1.053740353
5013.500135,1.053741965
5013.750138,1.053743576
5014.00014,1.053745187
5014.250143,1.053746796
5014.500145,1.053748405
5014.750148,1.053750013
5015.00015,1.053751621
5015.250153,1.053753227
5015.500155,1.053754833
5015.750158,1.053756438
5016.00016,1.053758043
5016.250163,1.053759646
5016.500165,1.053761249
5016.750168,1.053762851
5017.00017,1.053764453
5017.250173,1.053766053
5017.500175,1.053767653
5017.750178,1.053769252
5018.00018,1.053770851
5018.250183,1.053772448
5018.500185,1.053774045
5018.750188,1.053775641
5019.00019,1.053777237
5019.250193,1.053778831
5019.500195,1.053780425
5019.750198,1.053782018
5020.0002,1.053783611
5020.250203,1.053785202
5020.500205,1.053786793
5020.750208,1.053788383
5021.00021,1.053789973
5021.250213,1.053791561
5021.500215,1.053793149
5021.750218,1.053794736
5022.00022,1.053796323
5022.250223,1.053797908
5022.500225,1.053799493
5022.750228,1.053801077
5023.00023,1.053802661
5023.250233,1.053804243
5023.500235,1.053805825
5023.750238,1.053807406
5024.00024,1.053808987
5024.250243,1.053810566
5024.500245,1.053812145
5024.750248,1.053813723
5025.00025,1.0538153
5025.250253,1.053816877
5025.500255,1.053818453
5025.750258,1.053820028
5026.00026,1.053821602
5026.250263,1.053823176
5026.500265,1.053824748
5026.750268,1.053826321
5027.00027,1.053827892
5027.250273,1.053829462
5027.500275,1.053831032
5027.750278,1.053832601
5028.00028,1.053834169
5028.250283,1.053835737
5028.500285,1.053837304
5028.750288,1.05383887
5029.00029,1.053840435
5029.250293,1.053841999
5029.500295,1.053843563
5029.750298,1.053845126
5030.0003,1.053846688
5030.250303,1.05384825
5030.500305,1.053849811
5030.750308,1.053851371
5031.00031,1.05385293
5031.250313,1.053854488
5031.500315,1.053856046
5031.750318,1.053857603
5032.00032,1.053859159
5032.250323,1.053860714
5032.500325,1.053862269
5032.750328,1.053863823
5033.00033,1.053865376
5033.250333,1.053866928
5033.500335,1.05386848
5033.750338,1.053870031
5034.00034,1.053871581
5034.250343,1.05387313
5034.500345,1.053874679
5034.750348,1.053876227
5035.00035,1.053877774
5035.250353,1.05387932
5035.500355,1.053880866
5035.750358,1.05388241
5036.00036,1.053883955
5036.250363,1.053885498
5036.500365,1.05388704
5036.750368,1.053888582
5037.00037,1.053890123
5037.250373,1.053891663
5037.500375,1.053893203
5037.750378,1.053894741
5038.00038,1.053896279
5038.250383,1.053897817
5038.500385,1.053899353
5038.750388,1.053900889
5039.00039,1.053902424
5039.250393,1.053903958
5039.500395,1.053905491
5039.750398,1.053907024
5040.0004,1.053908556
5040.250403,1.053910087
5040.500405,1.053911617
5040.750408,1.053913147
5041.00041,1.053914675
5041.250413,1.053916203
5041.500415,1.053917731
5041.750418,1.053919257
5042.00042,1.053920783
5042.250423,1.053922308
5042.500425,1.053923832
5042.750428,1.053925356
5043.00043,1.053926878
5043.250433,1.0539284
5043.500435,1.053929921
5043.750438,1.053931442
5044.00044,1.053932962
5044.250443,1.05393448
5044.500445,1.053935999
5044.750448,1.053937516
5045.00045,1.053939033
5045.250453,1.053940548
5045.500455,1.053942063
5045.750458,1.053943578
5046.00046,1.053945091
5046.250463,1.053946604
5046.500465,1.053948116
5046.750468,1.053949627
5047.00047,1.053951138
5047.250473,1.053952647
5047.500475,1.053954156
5047.750478,1.053955665
5048.00048,1.053957172
5048.250483,1.053958679
5048.500485,1.053960184
5048.750488,1.05396169
5049.00049,1.053963194
5049.250493,1.053964697
5049.500495,1.0539662
5049.750498,1.053967702
5050.0005,1.053969204
5050.250503,1.053970704
5050.500505,1.053972204
5050.750508,1.053973703
5051.00051,1.053975201
5051.250513,1.053976698
5051.500515,1.053978195
5051.750518,1.053979691
5052.00052,1.053981186
5052.250523,1.05398268
5052.500525,1.053984174
5052.750528,1.053985667
5053.00053,1.053987159
5053.250533,1.05398865
5053.500535,1.053990141
5053.750538,1.05399163
5054.00054,1.053993119
5054.250543,1.053994608
5054.500545,1.053996095
5054.750548,1.053997582
5055.00055,1.053999068
5055.250553,1.054000553
5055.500555,1.054002037
5055.750558,1.054003521
5056.00056,1.054005004
5056.250563,1.054006486
5056.500565,1.054007967
5056.750568,1.054009447
5057.00057,1.054010927
5057.250573,1.054012406
5057.500575,1.054013884
5057.750578,1.054015362
5058.00058,1.054016838
5058.250583,1.054018314
5058.500585,1.054019789
5058.750588,1.054021264
5059.00059,1.054022737
5059.250593,1.05402421
5059.500595,1.054025682
5059.750598,1.054027153
5060.0006,1.054028624
5060.250603,1.054030093
5060.500605,1.054031562
5060.750608,1.05403303
5061.00061,1.054034498
5061.250613,1.054035964
5061.500615,1.05403743
5061.750618,1.054038895
5062.00062,1.05404036
5062.250623,1.054041823
5062.500625,1.054043286
5062.750628,1.054044748
5063.00063,1.054046209
